transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
73,2022-01-29,1,23,73,8,292,163.62,Pending,Quotes,,,PO-667056,CTR-2022-9646
74,2022-01-12,3,15,940,34,631,239.97,Approved,RFP,645,2022-01-22,,
75,2022-01-08,3,27,262,12,686,337.57,Approved,Quotes,268,2022-01-16,,
76,2022-01-15,2,13,62,40,314,108.47,Pending,RFP,,,,
77,2022-01-02,3,14,825,7,852,61.98,Approved,Contract,740,2022-01-16,PO-604000,CTR-2020-3194
78,2022-01-10,2,32,884,26,934,269.5,Approved,RFP,845,2022-01-14,PO-557097,
79,2022-01-22,1,29,809,100,695,37.29,Approved,Contract,872,2022-01-25,,CTR-2024-2888
80,2022-01-21,3,23,316,10,312,490.42,Approved,RFP,109,2022-02-04,PO-107023,CTR-2025-2754
81,2022-01-17,3,16,279,66,582,394.82,Rejected,RFP,23,2022-01-18,,
82,2022-01-26,3,35,376,86,943,440.49,Approved,Contract,612,2022-02-01,PO-610629,CTR-2024-9282
83,2022-01-09,2,17,656,58,170,539.51,Approved,Contract,384,2022-01-21,PO-668538,CTR-2020-5335
84,2022-01-17,2,18,446,61,740,215.23,Approved,RFP,234,2022-01-24,PO-639470,
85,2022-01-17,3,28,220,36,114,253.17,Approved,Quotes,810,2022-01-22,PO-898042,CTR-2022-1699
86,2022-01-05,2,26,61,75,323,335.97,Approved,Contract,31,2022-01-18,,CTR-2025-9961
87,2022-01-02,2,33,216,22,584,45.95,Approved,RFP,850,2022-01-15,PO-678363,
88,2022-01-19,3,22,225,10,337,72.05,Approved,Contract,879,2022-01-23,,CTR-2023-1643
89,2022-01-04,1,17,32,15,406,140.19,Approved,Contract,905,2022-01-10,,CTR-2020-2102
90,2022-01-10,2,16,211,73,979,96.51,Pending,Quotes,,,PO-219467,CTR-2021-9138
91,2022-01-16,1,10,740,74,247,39.02,Approved,RFP,808,2022-01-27,,CTR-2023-2478
92,2022-01-12,2,19,759,54,59,553.06,Approved,Quotes,59,2022-01-14,PO-136010,
93,2022-01-26,2,11,233,91,899,294.66,Approved,Quotes,433,2022-02-09,PO-279019,
94,2022-01-01,3,34,14,55,788,553.84,Approved,Contract,45,2022-01-15,PO-133949,CTR-2021-8820
95,2022-01-18,1,26,132,64,883,547.01,Approved,RFP,913,2022-01-23,,
96,2022-01-05,1,21,11,39,986,301.92,Approved,Quotes,129,2022-01-12,PO-899295,
97,2022-01-28,2,26,269,4,945,202.72,Approved,RFP,559,2022-02-02,,
98,2022-01-09,1,37,328,92,972,82.51,Approved,RFP,555,2022-01-13,PO-806931,
99,2022-01-14,3,30,178,61,945,270.27,Approved,RFP,789,2022-01-20,PO-523867,CTR-2020-2281
100,2022-01-02,1,17,582,88,890,541.12,Approved,RFP,535,2022-01-12,PO-691399,
101,2022-01-02,1,19,763,39,369,543.89,Approved,Quotes,719,2022-01-09,PO-623480,
102,2022-01-05,3,34,970,30,162,28.74,Rejected,Quotes,587,2022-01-14,,
103,2022-01-07,3,14,927,31,681,422.61,Approved,RFP,794,2022-01-19,PO-839734,
104,2022-01-26,3,16,83,30,148,334.92,Rejected,Contract,361,2022-01-31,,CTR-2025-9457
105,2022-01-21,1,13,564,99,896,466.7,Approved,RFP,317,2022-01-26,PO-315659,
106,2022-01-09,1,21,208,62,802,457.77,Approved,Contract,733,2022-01-12,PO-842079,CTR-2021-1385
107,2022-01-29,3,13,467,16,671,517.38,Approved,RFP,709,2022-02-12,PO-268101,
108,2022-01-07,3,34,655,85,920,505.51,Approved,RFP,637,2022-01-18,PO-697453,
109,2022-01-05,1,25,770,70,692,213.82,Approved,Quotes,159,2022-01-08,PO-651743,
110,2022-01-07,1,29,121,14,754,483.86,Approved,RFP,885,2022-01-09,PO-920332,
111,2022-01-21,2,36,113,77,615,98.09,Approved,Quotes,292,2022-02-02,,
112,2022-01-16,1,17,773,30,410,454.1,Approved,Quotes,821,2022-01-22,,
113,2022-01-06,1,37,778,61,15,40.81,Approved,Quotes,758,2022-01-18,,
114,2022-01-05,1,21,367,74,576,375.28,Approved,RFP,986,2022-01-14,,
115,2022-01-20,2,11,805,61,249,353.84,Approved,Contract,440,2022-01-30,,CTR-2021-4342
116,2022-01-11,2,31,341,86,561,260.95,Pending,RFP,,,,CTR-2021-9294
117,2022-01-16,2,24,517,22,68,481.86,Approved,RFP,474,2022-01-22,,CTR-2021-3433
118,2022-01-29,2,16,7,77,268,32.48,Approved,Quotes,926,2022-02-04,PO-752679,
119,2022-01-21,1,36,978,94,77,242.92,Approved,Contract,379,2022-01-23,PO-252048,CTR-2025-8849
120,2022-01-21,2,32,531,39,911,264.03,Approved,RFP,405,2022-02-04,PO-732604,
121,2022-01-10,3,19,3,67,785,25.78,Approved,Quotes,943,2022-01-15,PO-194576,
122,2022-01-16,2,26,867,65,805,252.92,Pending,RFP,,,PO-216937,
123,2022-01-02,2,27,346,97,766,441.24,Approved,RFP,466,2022-01-08,PO-929495,
124,2022-01-10,1,16,555,100,998,32.71,Pending,Quotes,,,,CTR-2020-8461
125,2022-01-01,2,26,405,78,364,132.43,Approved,Emergency,543,2022-01-05,PO-324408,
126,2022-01-12,2,10,972,11,705,241.52,Approved,Contract,517,2022-01-21,,CTR-2024-1292
127,2022-01-14,3,26,716,40,773,476.35,Approved,Contract,271,2022-01-25,,CTR-2024-1676
128,2022-01-24,2,35,342,40,132,388.55,Approved,RFP,532,2022-02-02,PO-439736,
129,2022-01-01,1,36,915,58,610,259.3,Approved,Contract,521,2022-01-08,PO-996112,CTR-2023-8207
130,2022-01-21,3,14,831,44,550,126.46,Approved,RFP,262,2022-01-25,PO-987702,
131,2022-01-26,3,20,607,36,919,103.98,Approved,Quotes,559,2022-02-07,,
132,2022-01-19,1,39,870,96,738,262.51,Approved,Contract,199,2022-01-25,PO-202990,CTR-2022-7793
133,2022-01-11,3,20,864,21,582,45.04,Approved,Quotes,944,2022-01-22,,
134,2022-01-11,3,32,841,99,780,461.66,Rejected,Quotes,995,2022-01-21,PO-511152,
135,2022-01-15,1,28,512,76,47,187.71,Approved,RFP,645,2022-01-18,,
136,2022-01-03,2,16,712,15,895,551.41,Approved,RFP,392,2022-01-04,,
137,2022-01-19,1,35,991,36,24,178.5,Approved,RFP,257,2022-01-21,,CTR-2021-4737
138,2022-01-07,2,17,396,60,869,500.06,Approved,Quotes,222,2022-01-21,,
139,2022-01-09,2,25,824,23,886,342.71,Approved,RFP,452,2022-01-15,PO-217534,
140,2022-01-13,3,31,57,71,55,244.03,Approved,Quotes,311,2022-01-26,PO-190131,
141,2022-01-24,1,12,549,31,118,534.25,Approved,Quotes,692,2022-02-07,PO-905740,
142,2022-01-11,1,20,769,42,980,52.41,Approved,Quotes,678,2022-01-16,PO-256610,CTR-2020-4338
143,2022-01-23,1,23,637,4,860,433.27,Approved,RFP,137,2022-01-28,PO-102301,
144,2022-01-17,2,34,222,3,175,74.83,Approved,Emergency,665,2022-01-30,PO-556062,
145,2022-01-12,1,34,940,28,307,68.47,Approved,Emergency,879,2022-01-14,,
146,2022-01-22,2,17,691,93,520,251.99,Approved,Quotes,765,2022-02-05,,
147,2022-01-17,1,24,384,22,965,224.95,Pending,RFP,,,PO-372538,
148,2022-01-22,1,33,902,73,572,402.96,Pending,RFP,,,,
149,2022-01-02,1,23,586,99,465,113.87,Approved,Quotes,609,2022-01-11,PO-400216,
150,2022-01-24,2,10,167,100,699,219.88,Pending,RFP,,,PO-163209,
151,2022-01-05,1,17,126,11,852,232.15,Approved,RFP,913,2022-01-16,,
152,2022-01-18,1,34,431,18,460,471.76,Approved,RFP,513,2022-01-25,PO-920852,
153,2022-01-29,1,29,403,6,310,18.47,Approved,Quotes,49,2022-02-07,,
154,2022-01-18,3,34,187,26,928,471.35,Approved,Contract,700,2022-01-29,PO-676755,CTR-2021-6767
155,2022-01-06,1,22,82,72,609,188.83,Pending,RFP,,,,
156,2022-01-16,1,35,245,74,8,118.68,Rejected,RFP,182,2022-01-18,PO-307668,
157,2022-01-21,2,32,352,18,206,310.87,Approved,Contract,969,2022-01-25,PO-260907,CTR-2024-9517
158,2022-01-01,2,24,178,37,12,201.4,Approved,Quotes,34,2022-01-14,PO-573770,
159,2022-01-02,3,38,504,54,669,269.09,Approved,Contract,406,2022-01-15,PO-120761,CTR-2025-3992
160,2022-01-06,2,36,349,45,145,260.02,Approved,RFP,560,2022-01-17,PO-585279,CTR-2020-7592
161,2022-01-13,3,24,64,14,624,414.55,Pending,Emergency,,,PO-201916,
162,2022-01-01,1,28,975,81,704,272.39,Approved,Contract,756,2022-01-13,,CTR-2025-6388
163,2022-01-12,1,36,385,88,770,446.06,Approved,RFP,221,2022-01-14,,
164,2022-01-28,1,34,225,20,966,368.02,Approved,Quotes,113,2022-01-30,PO-989634,
165,2022-01-12,2,22,419,26,878,302.66,Approved,RFP,959,2022-01-19,,CTR-2024-6565
166,2022-01-02,3,39,737,64,27,512.01,Rejected,Quotes,928,2022-01-09,,CTR-2023-9535
167,2022-01-23,3,36,332,63,234,371.82,Pending,RFP,,,PO-112385,
168,2022-01-20,2,21,807,53,953,421.75,Approved,Contract,824,2022-02-02,PO-220835,CTR-2020-9154
169,2022-01-14,2,23,458,16,190,54.08,Pending,Quotes,,,,
170,2022-01-08,1,29,590,6,588,129.85,Approved,Emergency,348,2022-01-15,PO-433767,CTR-2023-2366
171,2022-01-20,3,29,735,50,295,368.31,Approved,Contract,672,2022-01-24,,CTR-2023-9677
172,2022-01-12,3,28,937,40,306,131.59,Approved,Quotes,288,2022-01-20,PO-164218,
173,2022-01-11,1,23,269,78,358,209.64,Approved,Quotes,329,2022-01-20,PO-154473,
174,2022-01-17,3,11,682,35,418,413.38,Approved,RFP,713,2022-01-29,,CTR-2025-4976
175,2022-01-11,2,30,831,55,591,454.2,Approved,RFP,420,2022-01-13,PO-346136,
176,2022-01-16,2,25,397,80,959,173.91,Pending,Quotes,,,,
177,2022-01-29,1,36,659,34,88,448.78,Approved,Quotes,282,2022-02-05,PO-612281,CTR-2022-8057
178,2022-01-12,2,29,352,22,61,16.89,Approved,RFP,165,2022-01-26,PO-604314,
179,2022-01-23,2,33,970,95,486,35.41,Approved,RFP,264,2022-01-29,,
180,2022-01-28,2,36,974,91,784,471.92,Approved,RFP,893,2022-02-06,PO-413648,
181,2022-01-12,1,33,466,30,775,76.08,Pending,RFP,,,PO-375360,
182,2022-01-24,2,26,959,18,992,301.54,Approved,Quotes,600,2022-01-31,PO-485691,
183,2022-01-29,2,37,232,29,77,183.86,Pending,RFP,,,,
184,2022-01-15,3,40,535,61,386,209.45,Approved,RFP,163,2022-01-27,PO-870640,CTR-2021-3182
185,2022-01-18,2,38,193,72,711,543.87,Approved,RFP,831,2022-01-19,PO-124708,
186,2022-01-16,3,20,741,79,158,120.37,Pending,RFP,,,,CTR-2021-9269
187,2022-01-26,1,33,806,27,177,369.65,Approved,Emergency,184,2022-01-29,,CTR-2020-9333
188,2022-01-09,3,19,224,39,924,362.84,Approved,Contract,154,2022-01-11,PO-375867,CTR-2023-9951
189,2022-01-04,3,24,307,47,840,22.21,Approved,Quotes,202,2022-01-05,,CTR-2025-9640
190,2022-01-05,1,25,843,99,909,411.79,Approved,Contract,571,2022-01-06,PO-899795,CTR-2023-6370
191,2022-01-06,2,11,677,71,623,477.78,Approved,Quotes,560,2022-01-11,PO-509070,
192,2022-01-15,2,24,226,39,411,330.85,Pending,RFP,,,,CTR-2024-5220
193,2022-01-27,2,13,349,43,819,118.52,Approved,RFP,242,2022-02-07,,
194,2022-01-28,2,36,32,85,777,317.35,Approved,RFP,287,2022-02-05,PO-463973,
195,2022-01-16,3,38,445,15,536,100.81,Approved,Contract,387,2022-01-21,PO-204254,CTR-2021-7624
196,2022-01-13,3,11,948,42,353,41.36,Approved,RFP,147,2022-01-25,PO-918266,
197,2022-01-22,1,21,457,46,336,264.59,Approved,RFP,96,2022-02-05,PO-131076,
198,2022-01-10,2,30,439,7,685,261.09,Approved,Quotes,827,2022-01-23,PO-450105,
199,2022-01-25,3,28,855,14,394,474.47,Approved,Contract,865,2022-01-26,PO-896806,CTR-2022-3227
200,2022-01-26,1,16,912,82,110,26.59,Approved,RFP,509,2022-02-08,PO-752855,CTR-2023-8945
201,2022-01-26,1,14,689,53,539,471.76,Approved,RFP,996,2022-01-27,PO-395840,CTR-2023-3586
202,2022-01-25,3,28,442,82,827,70.25,Approved,RFP,300,2022-01-30,PO-236989,CTR-2021-3451
203,2022-01-04,3,10,667,70,759,458.55,Rejected,Quotes,15,2022-01-12,PO-976133,
204,2022-01-12,2,13,833,88,341,264.52,Approved,Contract,145,2022-01-13,,CTR-2023-2745
205,2022-01-20,1,32,33,24,838,186.23,Pending,Contract,,,,CTR-2020-6939
206,2022-01-17,2,38,368,21,334,140.86,Rejected,Contract,616,2022-01-18,PO-410014,CTR-2020-9558
207,2022-01-10,3,14,443,10,572,166.6,Approved,RFP,779,2022-01-20,PO-694581,
208,2022-01-16,2,28,35,56,384,130.67,Approved,Quotes,79,2022-01-22,PO-565183,
209,2022-01-16,2,14,120,10,46,167.9,Approved,RFP,366,2022-01-30,PO-305452,
210,2022-01-20,2,30,254,61,194,296.01,Approved,RFP,901,2022-01-27,PO-593596,
211,2022-01-06,1,30,15,47,102,53.46,Approved,RFP,170,2022-01-18,PO-823811,
212,2022-01-01,1,36,872,49,1,400.51,Approved,RFP,842,2022-01-10,PO-453167,CTR-2024-3879
213,2022-01-05,3,28,845,39,900,295.3,Approved,RFP,296,2022-01-10,PO-324553,CTR-2024-6195
214,2022-01-03,1,30,252,82,946,487.77,Pending,Quotes,,,PO-345971,
215,2022-01-03,1,15,464,96,516,492.05,Approved,Contract,945,2022-01-13,PO-723392,CTR-2023-1027
216,2022-01-26,3,32,548,22,961,209.5,Approved,RFP,866,2022-02-07,PO-935838,CTR-2025-8797
217,2022-01-09,1,14,530,49,107,507.49,Approved,RFP,591,2022-01-22,PO-116971,
218,2022-01-08,3,23,618,77,851,125.02,Pending,RFP,,,,
219,2022-01-20,1,17,391,38,810,157.53,Approved,Contract,259,2022-01-27,PO-904732,CTR-2023-3087
220,2022-01-25,3,37,896,28,360,208.84,Approved,Quotes,7,2022-01-30,PO-488076,
221,2022-01-26,3,34,318,89,648,368.03,Approved,Contract,290,2022-02-04,,CTR-2024-2288
222,2022-01-06,2,15,572,64,198,324.78,Rejected,RFP,332,2022-01-09,PO-121583,
223,2022-01-03,1,19,72,38,201,481.27,Approved,RFP,477,2022-01-10,,
224,2022-01-24,1,15,163,11,110,477.43,Approved,RFP,125,2022-02-06,PO-755910,
225,2022-01-06,2,19,857,75,399,362.26,Approved,Quotes,4,2022-01-13,PO-273813,
226,2022-01-04,3,21,898,83,979,26.85,Approved,Contract,54,2022-01-09,,CTR-2024-1967
227,2022-01-08,2,28,544,93,550,119.4,Pending,RFP,,,PO-841065,
228,2022-01-03,1,26,830,32,6,245.53,Approved,Quotes,2,2022-01-15,PO-542782,
229,2022-01-17,2,18,747,87,234,168.62,Pending,RFP,,,PO-523454,
230,2022-01-21,2,26,227,5,782,295.92,Approved,RFP,177,2022-02-04,PO-857293,CTR-2023-1606
231,2022-01-20,2,12,52,62,801,465.72,Pending,RFP,,,PO-249505,CTR-2025-7345
232,2022-01-19,1,10,929,59,323,537.34,Approved,RFP,843,2022-01-29,,
233,2022-01-24,3,38,16,27,950,218.03,Approved,Contract,211,2022-02-03,PO-564662,CTR-2023-2469
234,2022-01-23,3,28,138,12,670,17.27,Rejected,Contract,709,2022-01-30,PO-402586,CTR-2024-9127
235,2022-01-07,2,13,37,88,940,182.36,Approved,Contract,884,2022-01-17,,CTR-2023-9974
236,2022-01-07,1,21,677,40,941,434.93,Approved,Emergency,288,2022-01-15,PO-789177,
237,2022-01-07,1,38,148,4,899,26.53,Pending,Quotes,,,PO-581384,CTR-2020-2690
238,2022-01-20,3,22,785,35,483,410.46,Approved,RFP,678,2022-01-25,PO-685406,CTR-2023-7196
239,2022-01-21,3,23,133,80,939,217.44,Approved,Quotes,341,2022-01-27,,
240,2022-01-29,3,30,369,3,252,542.21,Approved,RFP,859,2022-02-06,,CTR-2020-9008
241,2022-01-18,3,33,893,80,803,392.74,Approved,RFP,192,2022-01-19,,CTR-2022-3521
242,2022-01-21,2,23,989,73,149,335.68,Approved,Contract,885,2022-01-30,,CTR-2020-9042
243,2022-01-22,3,26,513,21,74,369.41,Approved,Quotes,417,2022-01-24,PO-326237,
244,2022-01-25,1,20,328,47,768,46.31,Approved,Quotes,164,2022-01-26,,CTR-2023-9320
245,2022-01-15,2,35,720,52,675,349.76,Approved,Quotes,325,2022-01-17,PO-919427,
246,2022-01-07,3,11,791,12,453,38.62,Approved,RFP,401,2022-01-13,PO-836201,
247,2022-01-03,3,27,909,32,464,456.59,Approved,Quotes,263,2022-01-08,,
248,2022-01-20,1,12,207,63,915,346.31,Approved,RFP,732,2022-01-25,PO-681852,
249,2022-01-15,1,23,399,37,656,254.05,Approved,RFP,109,2022-01-27,PO-987680,
250,2022-01-19,2,11,576,91,251,322.67,Approved,RFP,917,2022-01-21,PO-145668,CTR-2024-9394
251,2022-01-25,3,15,702,3,206,211.64,Approved,Quotes,282,2022-02-06,,
252,2022-01-17,3,20,23,52,232,239.06,Approved,Quotes,230,2022-01-25,PO-982019,
253,2022-01-02,3,16,858,42,18,411.26,Approved,RFP,885,2022-01-11,PO-750562,
254,2022-01-17,2,13,833,59,773,314.58,Approved,RFP,36,2022-01-19,PO-769420,
255,2022-01-24,2,39,324,53,705,319.16,Approved,RFP,846,2022-01-25,PO-369478,
256,2022-01-19,3,19,313,93,946,204.1,Approved,Quotes,636,2022-01-23,PO-112608,
257,2022-01-15,3,28,42,75,353,300.25,Approved,Quotes,587,2022-01-24,PO-914518,CTR-2025-8164
258,2022-01-13,3,31,818,81,757,232.85,Approved,Quotes,61,2022-01-18,PO-241740,CTR-2022-2626
259,2022-01-10,2,30,254,42,2,194.49,Approved,Quotes,699,2022-01-23,PO-338369,CTR-2020-9629
260,2022-01-08,2,15,59,73,979,196.72,Pending,RFP,,,PO-650430,
261,2022-01-08,3,35,809,66,869,208.04,Approved,RFP,893,2022-01-13,PO-213680,CTR-2020-1794
262,2022-01-25,1,33,963,44,14,355.04,Approved,Contract,798,2022-02-08,PO-291816,CTR-2022-6180
263,2022-01-13,1,28,882,91,631,100.84,Rejected,Quotes,970,2022-01-17,PO-782340,
264,2022-01-21,1,31,863,83,487,31.48,Approved,RFP,893,2022-01-25,,
265,2022-01-01,2,27,269,93,69,12.75,Approved,Quotes,711,2022-01-07,PO-453956,
266,2022-01-02,3,24,558,95,284,42.23,Pending,RFP,,,PO-510560,
267,2022-01-19,1,19,778,17,520,110.88,Approved,RFP,552,2022-01-20,PO-167526,CTR-2021-6564
268,2022-01-19,3,26,549,96,587,73.75,Approved,Quotes,640,2022-01-27,,
269,2022-01-12,2,34,793,65,452,403.78,Approved,Quotes,288,2022-01-24,PO-375986,
270,2022-01-14,3,29,145,78,735,398.17,Approved,Quotes,364,2022-01-16,PO-612784,
271,2022-01-12,2,28,200,54,843,514.67,Approved,RFP,298,2022-01-16,PO-939149,CTR-2022-4656
272,2022-01-26,1,37,915,55,624,248.03,Pending,Quotes,,,PO-344029,
273,2022-01-01,2,32,904,22,654,536.77,Pending,Quotes,,,PO-529299,
274,2022-01-12,3,40,145,71,404,521.85,Approved,RFP,61,2022-01-13,PO-312046,CTR-2025-5195
275,2022-01-19,2,10,515,53,994,151.76,Approved,Quotes,547,2022-01-20,PO-643678,
276,2022-01-13,2,31,285,89,902,77.15,Approved,RFP,332,2022-01-15,,
277,2022-01-24,2,36,618,68,332,389.46,Approved,Quotes,556,2022-02-07,,
278,2022-01-26,2,32,357,39,141,160.8,Approved,Quotes,618,2022-01-27,PO-372957,
279,2022-01-14,2,35,734,69,790,150.27,Approved,RFP,947,2022-01-19,PO-554742,
280,2022-01-11,3,14,329,82,379,67.37,Approved,Contract,276,2022-01-21,PO-683457,CTR-2024-8154
281,2022-01-11,2,13,838,67,551,542.31,Approved,Quotes,941,2022-01-17,PO-301177,
282,2022-01-20,2,24,915,43,769,402.96,Approved,Quotes,729,2022-02-01,PO-169006,
283,2022-01-18,2,15,326,30,623,141.61,Approved,RFP,881,2022-01-29,PO-533385,
284,2022-01-03,2,31,4,26,650,246.12,Approved,Contract,449,2022-01-04,,CTR-2020-3320
285,2022-01-25,2,28,199,20,567,335.46,Approved,Quotes,603,2022-01-30,PO-295718,
